"customer_key","account_nbr","site_id","res_com_ind","customer_status","house_type","account_guid","user_guid_primary","employee_flag","test_account_flag","inception_date","sale_acquisition_channel","registration_date","registration_traffic_source_detail","registration_traffic_source","data_flag","tv_flag","phone_flag","homelife_flag","mobile_flag","pano_flag","pano_device","easy_pay_flag","do_not_call_flag","do_not_email_flag","do_not_mail_flag","do_not_market_flag","last_contacted_date_ivr_call","last_contacted_date_cox_com","last_contacted_date_cox_app","cox_segment","demographic_info1","demographic_info2","time_key"
"1.18711814E8","19774212","186","R","F","Apartment","2a1e0a1b-9503-428d-fe00-0189fabded65","c3812fa0-a3ab-11ea-acd5-005056a79bb2","0","2.0","2023-08-15 04:00:00.0","","2021-07-15 17:14:19.000","","undefined","1","0","0","","0","","","1","0","0","0","0","","2024-10-13","","","","","2024-05-31"
"1.00134511E8","1285408","333","R","A","House","6d96fae0-f436-11e4-bf6e-14feb5d95de2","8eeed770-b626-11e8-a326-14feb5d9357d","0","2.0","2015-05-06 04:00:00.0","","2018-09-12 03:02:00.000","","undefined","1","0","0","","0","","","0","0","0","0","0","2023-07-23","2024-11-01","2023-07-23","","","","2024-01-31"
"1.18879712E8","278417502","436","R","F","Apartment","2a1e0a0f-38b1-0ac2-f800-018a412d6571","2a1e0a11-a3ed-454e-4b00-0182a5ddeee8","0","2.0","2022-08-16 04:00:00.0","","2022-08-20 16:30:15.000","","undefined","1","0","0","","0","","","0","0","0","0","0","","2024-10-23","","","","","2024-01-31"
"7.2210986E7","76893404","541","R","A","House","cdd2b980-438b-11e1-902d-14feb5d9510d","cdda0c80-438b-11e1-902d-14feb5d9510d","0","2.0","2011-08-23 04:00:00.0","","2014-10-30 03:00:34.000","","undefined","1","0","0","","0","","","0","0","0","0","0","","2024-10-10","","","","","2024-07-31"
"621003.0","570869201","580","R","A","House","320d84d0-bc4c-11e3-a819-14feb5d94d4a","320dfa00-bc4c-11e3-a819-14feb5d94d4a","0","2.0","1998-08-13 04:00:00.0","","2014-10-30 03:00:34.000","","undefined","1","0","0","","0","","","0","0","0","0","0","2022-04-22","2023-07-22","2024-10-18","","","","2024-07-31"
"1.16231902E8","18105412","215","R","A","House","2a1e0a0c-3f0d-2f22-9700-01821faf1dcb","54d1c537-36bf-11dd-b727-00007f000001","0","2.0","2022-08-08 04:00:00.0","","2014-10-30 03:00:34.000","","undefined","1","0","0","","0","","","0","0","0","0","0","2024-08-27","","","","","","2024-07-31"
"1.00379102E8","57677603","580","R","A","House","acdf2d20-16bf-11e5-ba20-14feb5d94d4a","fb2b6370-36b8-11dd-b727-00007f000001","0","2.0","1990-08-10 04:00:00.0","","2014-10-30 03:00:34.000","","undefined","1","0","0","","0","","","0","0","0","0","0","","2024-07-14","2024-07-02","","","","2024-03-31"
"1.857244E7","75129402","541","R","A","House","40bdc19a-f13e-4d2c-b788-727612619cc6","b872fe22-36b4-11dd-b727-00007f000001","0","2.0","1995-11-14 05:00:00.0","","2014-10-30 03:00:34.000","","undefined","1","0","1","","0","","","0","0","0","0","0","2024-11-07","2024-11-03","2022-12-22","","","","2024-07-31"
"1.14124756E8","27532929","215","R","A","Apartment","30e87c10-a455-11eb-a965-005056a76cd0","887d99b0-b3b4-11eb-bc8f-005056a78157","0","2.0","2021-04-23 04:00:00.0","","2021-07-15 17:14:19.000","","undefined","1","1","1","","0","","","0","0","0","0","0","2024-09-30","2024-11-06","2023-11-21","","","","2024-07-31"
"1.20252543E8","93152403","1","R","A","House","2a1e0a0f-aa59-ba1b-7d00-018fed2eaf33","2a1e0a0f-aa34-bed7-7600-018fed2eaefc","0","6.0","2024-06-17 04:00:00.0","","2024-06-20 03:00:51.000","","undefined","1","0","0","","0","","","0","0","0","0","0","","","","","","","2024-09-30"
"1.20355993E8","151734009","436","R","A","House","2a1e0a1a-34ed-3cb1-0100-019051806854","345a4ed7-36bf-11dd-b727-00007f000001","0","2.0","2021-07-16 04:00:00.0","","2014-10-30 03:07:29.000","","undefined","1","1","0","","0","","","0","0","0","0","0","2024-07-29","2024-08-09","","","","","2024-09-30"
"1.19628247E8","141243502","216","R","A","Apartment","2a1e0a18-8c68-7f3e-4900-018f5697f198","2a1e0a0e-96be-4ed9-fa00-018eab5c0110","0","2.0","2024-02-22 05:00:00.0","","2024-06-02 03:00:53.000","","undefined","1","0","1","","0","","","1","0","0","0","0","2024-03-25","","","","","","2024-09-30"
"1.18806224E8","65314906","186","R","A","Apartment","2a1e0a1b-bae3-1d9b-8400-018a4038085d","2a1e0a0f-3857-2385-9800-018a4073a09c","0","2.0","2023-08-31 04:00:00.0","","2023-09-03 03:00:30.000","","undefined","1","0","0","","0","","","1","0","0","0","0","2023-09-06","2024-05-03","2024-11-03","","","","2023-12-31"
"1.0271116E8","87882401","182","R","A","Apartment","6306ccd0-3720-11e6-9796-14feb5d9513a","4d9ca850-ec72-11e9-8516-005056a7de48","0","2.0","2016-06-20 04:00:00.0","","2019-10-12 03:00:14.000","","undefined","0","1","0","","0","","","0","0","0","0","0","","","","","","","2024-02-29"
"1.18018212E8","4194416","436","R","A","House","2a1e0a1c-8bf7-f6ad-ca00-0187746d6b75","2a1e0a1c-8bd6-293a-5e00-0187746d6b2b","0","2.0","2023-04-13 04:00:00.0","","2023-04-15 03:00:21.000","","undefined","1","0","0","","0","","","0","0","0","0","0","","2024-10-31","2024-11-02","","","","2024-02-29"
"1.8571929E7","75092801","541","R","A","House","a76672e1-ab62-4414-baa6-91546c2027ae","d3cc14b0-22ad-11e2-a15a-14feb5d950bc","0","2.0","1997-07-10 04:00:00.0","","2014-10-30 03:00:34.000","","undefined","1","1","1","","0","","","1","0","0","0","0","2024-09-14","2024-06-21","","","","","2024-09-30"
"1.04443997E8","806066806","215","R","A","House","5b06c680-26bb-11e7-9616-14feb5d950bc","8d7343f0-ffc1-11e4-8fa8-14feb5d950bc","0","2.0","2015-04-04 04:00:00.0","","2015-05-22 03:00:25.000","cr_em_cns_ocall_event255","email","1","0","0","","0","","","0","0","0","0","0","2022-07-18","2024-09-25","2024-11-01","","","","2024-09-30"
"1.16643678E8","56923705","333","R","A","Revenue Share - Apt.","2a1e0a0d-7377-c687-5000-01821fb0c30a","2a1e0a0c-41b3-c00b-7300-01824c6e838c","0","2.0","2022-07-22 04:00:00.0","","2022-08-14 03:00:22.000","","undefined","1","0","0","","0","","","0","0","0","0","0","2022-12-07","2024-10-19","","","","","2024-08-31"
"1.05726814E8","3669507","186","R","A","Apartment","4dce31e0-9b2a-11e7-9b01-14feb5d950bc","723e3bf0-36b3-11dd-b727-00007f000001","0","2.0","2017-09-16 04:00:00.0","","2014-10-18 03:44:32.000","","undefined","1","0","0","","0","","","0","0","0","0","0","2024-09-16","2024-10-13","2023-06-24","","","","2024-08-31"
"1.07503649E8","607404202","436","R","A","House","fb366660-7bba-11e8-8cea-14feb5d95de2","71568ad0-f3a2-11ea-b4c1-005056a78699","0","2.0","2018-06-29 04:00:00.0","","2021-07-15 17:14:19.000","","undefined","1","0","0","","0","","","0","0","0","0","0","2023-03-02","2024-08-15","","","","","2024-08-31"
"1.11443225E8","105691910","436","R","A","House","5d76d830-61c6-11ea-8a5d-005056a72eaa","5d7b6c10-61c6-11ea-8a5d-005056a72eaa","0","2.0","2020-03-11 04:00:00.0","","2020-05-15 19:38:39.000","","undefined","1","1","0","","0","","","0","0","0","0","0","2023-03-13","2024-07-13","2024-11-04","","","","2023-10-31"
"5.729584E7","204852402","132","R","A","Apartment","8f374190-9f0a-11e4-bd8a-14feb5d9357d","32ffd410-0a6a-11eb-8d66-005056a78157","0","2.0","2006-02-03 05:00:00.0","","2021-07-15 17:14:19.000","","undefined","0","1","0","","0","","","0","0","0","0","0","","","","","","","2023-11-30"
"1.20254596E8","27693408","333","R","A","House","2a1e0a09-61fa-2082-4800-018fed11dabd","2a1e0a09-6106-1e74-6a00-018fed11da88","0","2.0","2024-06-17 04:00:00.0","","2024-06-18 03:00:48.000","","undefined","1","0","0","","0","","","1","0","0","0","0","","2024-06-17","","","","","2024-07-31"
"6.9218817E7","114094003","238","R","A","House","beda5520-4318-11df-9273-00144ff25fc8","bee5c6d0-4318-11df-9273-00144ff25fc8","0","2.0","2010-04-10 04:00:00.0","","2014-12-11 15:54:03.000","","undefined","1","1","1","","0","","","0","0","0","0","0","2024-10-16","2024-10-07","2024-01-03","","","","2024-04-30"
"1.17221628E8","707305","436","R","A","Mobile Home","2a1e0a0e-a800-32da-0900-0183f446acd6","2a1e0a0a-9ed9-a664-9200-018411facbf0","0","2.0","2022-11-03 04:00:00.0","","2022-11-22 04:00:21.000","","undefined","1","1","0","","0","","","1","0","0","0","0","2024-09-04","2024-06-17","","","","","2024-09-30"
"1.19557571E8","23770111","186","R","A","Apartment","2a1e0a0c-fe69-3d9f-6d00-018d5e9fc520","2a1e0a17-afb9-80ca-d400-018d5ef511df","0","2.0","2024-02-05 05:00:00.0","","2024-02-07 04:00:53.000","","undefined","1","0","0","","0","","","0","0","0","0","0","2024-06-28","2024-05-01","2024-10-30","","","","2024-09-30"
