Channel Group,Channel,Sub Channel,Date,Ratio String
Online,eTail,3rd Party - Affinity,2021-01-31,0.067
Online,eTail,3rd Party - Affinity,2021-02-28,0.067
Online,eTail,3rd Party - Affinity,2021-03-31,0.067
Online,eTail,3rd Party - Affinity,2021-04-30,0.067
Online,eTail,3rd Party - Affinity,2021-05-31,0.067
Online,eTail,3rd Party - Affinity,2021-06-30,0.067
Online,eTail,3rd Party - Affinity,2021-07-31,0.067
Online,eTail,3rd Party - Affinity,2021-08-31,0.067
Online,eTail,3rd Party - Affinity,2021-09-30,0.067
Online,eTail,3rd Party - Affinity,2021-10-31,0.067
Online,eTail,3rd Party - Affinity,2021-11-30,0.067
Online,eTail,3rd Party - Affinity,2021-12-31,0.067
Online,Cox.com,Cox.com,2022-01-31,0.773
Online,Cox.com,Cox.com,2022-02-28,0.773
Online,Cox.com,Cox.com,2022-03-31,0.773
Online,Cox.com,Cox.com,2022-04-30,0.773
Online,Cox.com,Cox.com,2022-05-31,0.773
Online,Cox.com,Cox.com,2022-06-30,0.773
Online,Cox.com,Cox.com,2022-07-31,0.773
Online,Cox.com,Cox.com,2022-08-31,0.773
Online,Cox.com,Cox.com,2022-09-30,0.773
Online,Cox.com,Cox.com,2022-10-31,0.773
Online,Cox.com,Cox.com,2022-11-30,0.773
Online,Cox.com,Cox.com,2022-12-31,0.773
Online,eTail,3rd Party - eTailer,2022-01-31,0.16
Online,eTail,3rd Party - eTailer,2022-02-28,0.16
Online,eTail,3rd Party - eTailer,2022-03-31,0.16
Online,eTail,3rd Party - eTailer,2022-04-30,0.16
Online,eTail,3rd Party - eTailer,2022-05-31,0.16
Online,eTail,3rd Party - eTailer,2022-06-30,0.16
Online,eTail,3rd Party - eTailer,2022-07-31,0.16
Online,eTail,3rd Party - eTailer,2022-08-31,0.16
Online,eTail,3rd Party - eTailer,2022-09-30,0.16
Online,eTail,3rd Party - eTailer,2022-10-31,0.16
Online,eTail,3rd Party - eTailer,2022-11-30,0.16
Online,eTail,3rd Party - eTailer,2022-12-31,0.16
Online,eTail,3rd Party - Affinity,2022-01-31,0.067
Online,eTail,3rd Party - Affinity,2022-02-28,0.067
Online,eTail,3rd Party - Affinity,2022-03-31,0.067
Online,eTail,3rd Party - Affinity,2022-04-30,0.067
Online,eTail,3rd Party - Affinity,2022-05-31,0.067
Online,eTail,3rd Party - Affinity,2022-06-30,0.067
Online,eTail,3rd Party - Affinity,2022-07-31,0.067
Online,eTail,3rd Party - Affinity,2022-08-31,0.067
Online,eTail,3rd Party - Affinity,2022-09-30,0.067
Online,eTail,3rd Party - Affinity,2022-10-31,0.067
Online,eTail,3rd Party - Affinity,2022-11-30,0.067
Online,eTail,3rd Party - Affinity,2022-12-31,0.067
