date,Flow Name (v42),ALTRX - Res: NC Orders,ALTRX - Res: CC Orders,ALTRX - Res: Transfer Orders
Fri. 21 Mar. 2025,WLS:Connect Assist Lead,0,0,0
Fri. 21 Mar. 2025,transfer:transfer-as-is,0,0,1
Mon. 17 Mar. 2025,WLS:Transfer Lead-Bulk,0,0,0
Tue. 18 Mar. 2025,WLS:Boost Mobile Store,4,0,0
Tue. 18 Mar. 2025,WLS:Transfer Lead-Bulk,0,0,0
Wed. 19 Mar. 2025,WLS:Transfer Lead-Bulk,0,0,1
Sat. 22 Mar. 2025,WLS:Connect Assist Lead,0,0,0
Sat. 22 Mar. 2025,transfer:transfer-as-is,0,0,2
Sun. 23 Mar. 2025,WLS:Connect Assist Lead,0,0,0
Sun. 23 Mar. 2025,transfer:transfer-as-is,0,0,8
Mon. 17 Mar. 2025,WLS:Connect Assist,32,1,0
Thu. 20 Mar. 2025,WLS:Boost Mobile Store,9,0,0
Thu. 20 Mar. 2025,WLS:Transfer Lead-Bulk,0,0,0
Fri. 21 Mar. 2025,WLS:Transfer Lead-Bulk,0,0,0
Sat. 22 Mar. 2025,WLS:Boost Mobile Store,9,0,0
Sat. 22 Mar. 2025,WLS:Transfer Lead-Bulk,0,0,0
Sun. 23 Mar. 2025,WLS:Boost Mobile Store,6,0,0
Sun. 23 Mar. 2025,WLS:Transfer Lead-Bulk,0,0,0
Mon. 17 Mar. 2025,WLS:AllConnect Cart,4,0,0
Mon. 17 Mar. 2025,transfer:transfer,0,0,225
Tue. 18 Mar. 2025,WLS:Connect Assist,38,0,0
Tue. 18 Mar. 2025,WLS:AllConnect Cart,2,0,0
Tue. 18 Mar. 2025,transfer:transfer,0,0,175
Wed. 19 Mar. 2025,WLS:Connect Assist,53,0,0
Wed. 19 Mar. 2025,WLS:AllConnect Cart,2,0,0
Wed. 19 Mar. 2025,transfer:transfer,0,0,161
Thu. 20 Mar. 2025,WLS:Connect Assist,36,0,0
Thu. 20 Mar. 2025,WLS:AllConnect Cart,0,0,0
Thu. 20 Mar. 2025,transfer:transfer,0,0,192
Fri. 21 Mar. 2025,WLS:Connect Assist,29,0,0
Fri. 21 Mar. 2025,WLS:AllConnect Cart,5,0,0
Fri. 21 Mar. 2025,transfer:transfer,0,0,203
Sat. 22 Mar. 2025,WLS:Connect Assist,38,0,0
Sat. 22 Mar. 2025,WLS:AllConnect Cart,4,0,0
Mon. 17 Mar. 2025,WLS:Centerfield,6,0,0
Mon. 17 Mar. 2025,unknown:unknown,10,0,0
Wed. 19 Mar. 2025,WLS:Centerfield,11,0,0
Fri. 21 Mar. 2025,WLS:Centerfield,11,0,0
Sat. 22 Mar. 2025,transfer:transfer,0,0,186
Sun. 23 Mar. 2025,WLS:Connect Assist,23,0,0
Sun. 23 Mar. 2025,WLS:AllConnect Cart,1,0,0
Sun. 23 Mar. 2025,transfer:transfer,0,0,162
Mon. 17 Mar. 2025,repackage:cro,0,293,0
Tue. 18 Mar. 2025,WLS:Centerfield,8,0,0
Tue. 18 Mar. 2025,unknown:unknown,9,0,0
Tue. 18 Mar. 2025,repackage:cro,0,240,0
Wed. 19 Mar. 2025,unknown:unknown,9,0,0
Wed. 19 Mar. 2025,repackage:cro,0,228,0
Thu. 20 Mar. 2025,WLS:Centerfield,4,0,0
Thu. 20 Mar. 2025,unknown:unknown,7,0,0
Fri. 21 Mar. 2025,unknown:unknown,7,0,0
Fri. 21 Mar. 2025,repackage:cro,0,242,0
Sat. 22 Mar. 2025,WLS:Centerfield,7,0,0
Sat. 22 Mar. 2025,unknown:unknown,3,0,0
Sat. 22 Mar. 2025,repackage:cro,0,191,0
Sun. 23 Mar. 2025,WLS:Centerfield,5,0,0
Sun. 23 Mar. 2025,unknown:unknown,4,0,0
Sun. 23 Mar. 2025,repackage:cro,0,219,0
Mon. 17 Mar. 2025,repackage:bm,0,348,0
Mon. 17 Mar. 2025,mobile:mobile,0,10,0
Mon. 17 Mar. 2025,repackage:main,0,2,0
Tue. 18 Mar. 2025,repackage:bm,0,313,0
Tue. 18 Mar. 2025,repackage:main,0,1,0
Wed. 19 Mar. 2025,repackage:bm,0,310,0
Wed. 19 Mar. 2025,mobile:mobile,0,12,0
Thu. 20 Mar. 2025,repackage:cro,0,247,0
Wed. 19 Mar. 2025,repackage:main,0,1,0
Thu. 20 Mar. 2025,repackage:bm,0,298,0
Thu. 20 Mar. 2025,mobile:mobile,0,10,0
Thu. 20 Mar. 2025,repackage:main,0,2,0
Fri. 21 Mar. 2025,repackage:bm,0,329,0
Fri. 21 Mar. 2025,repackage:main,0,2,0
Sat. 22 Mar. 2025,repackage:bm,0,251,0
Sat. 22 Mar. 2025,repackage:main,0,0,0
Mon. 17 Mar. 2025,main:main,694,319,0
Tue. 18 Mar. 2025,main:main,650,336,0
Tue. 18 Mar. 2025,mobile:mobile,0,9,0
Wed. 19 Mar. 2025,main:main,599,313,0
Thu. 20 Mar. 2025,main:main,635,336,0
Sun. 23 Mar. 2025,repackage:bm,0,250,0
Sun. 23 Mar. 2025,mobile:mobile,0,10,0
Sun. 23 Mar. 2025,repackage:main,0,0,0
Mon. 17 Mar. 2025,main:legacy,0,79,0
Tue. 18 Mar. 2025,main:legacy,0,78,0
Wed. 19 Mar. 2025,main:legacy,0,64,0
Fri. 21 Mar. 2025,main:main,685,347,0
Fri. 21 Mar. 2025,mobile:mobile,0,7,0
Sat. 22 Mar. 2025,main:main,552,331,0
Sat. 22 Mar. 2025,mobile:mobile,0,7,0
Sun. 23 Mar. 2025,main:main,440,331,0
Thu. 20 Mar. 2025,main:legacy,0,76,0
Fri. 21 Mar. 2025,main:legacy,0,71,0
Sat. 22 Mar. 2025,main:legacy,0,74,0
Sun. 23 Mar. 2025,main:legacy,0,92,0
